id,problem,answer,source,solution,competition
K7M4Q2,"Find all positive integers $n>2$ such that $n!\mid\prod_{\substack{p<q\le n\\ p,q\ \text{primes}}}(p+q)$.",7.0,https://www.imo-official.org/problems/IMO2021SL.pdf,IMO2022SL.pdf/Page61,IMO 2022 Shortlisted Problems
A9Q4M7,"Let $A$ be a finite set of integers (not necessarily positive), and let $m\ge 2$ be an integer. Suppose there exist nonempty subsets $B_1,B_2,\dots,B_m\subseteq A$ such that the sum of the elements of $B_i$ is equal to $m^i$ for each $i=1,2,\dots,m$. Determine the minimum possible number of elements in the set $A$. Then evaluate this minimum when $m=2024$.",1012.0,https://www.imo-official.org/problems/IMO2021SL.pdf,IMO2021SL.pdf/Page21,IMO 2021 Shortlisted Problems
R8M4Q2,"Determine the largest integer $H$ for which there exists a table $T$ with $H$ rows and $100$ columns such that every row is a permutation of $\{1,2,\dots,100\}$ and for any two distinct rows $r,s$ there is a column $c$ with $|T(r,c)-T(s,c)|\ge 2$, where $T(r,c)$ denotes the entry in row $r$ and column $c$. Let $G$ denote this maximal value of $H$. Compute $\frac{G\cdot 2^{50}}{99!}$.",100.0,https://www.imo-official.org/problems/IMO2021SL.pdf,IMO2021SL.pdf/Page39,IMO 2021 Shortlisted Problems
B7Q9M4,Determine all integers $n\ge 3$ with the property that every convex $n$-gon whose sides all have length $1$ contains an equilateral triangle of side length $1$. (Every polygon is assumed to contain its boundary.) Let $S$ be the set of all such integers $n$ with $3\le n\le 2023$. Determine $|S|$.,1011.0,https://www.imo-official.org/problems/IMO2021SL.pdf,IMO2021SL.pdf/Page56,IMO 2021 Shortlisted Problems
L9Q2M7,"Determine all integers $n\ge 1$ for which there exists a pair of positive integers $(a,b)$ such that no cube of a prime divides $a^2+b+3$ and $\frac{ab+3b+8}{a^2+b+3}=n$.",2.0,https://www.imo-official.org/problems/IMO2021SL.pdf,IMO2021SL.pdf/Page68,IMO 2021 Shortlisted Problems
Y8Q3M4,Find all positive integers $n$ with the property that the positive divisors of $n$ can be permuted so that every partial sum of the ordered divisors is a perfect square. Let $S$ be the set of all such integers $n$. Determine $\sum_{n\in S} n$.,4.0,https://www.imo-official.org/problems/IMO2021SL.pdf,IMO2021SL.pdf/Page70,IMO 2021 Shortlisted Problems
a7f3c9,"Let $n=2025$. On a slope of a mountain, $n^2$ checkpoints are marked, numbered from $1$ to $n^2$ from the bottom to the top. Each of two cable car companies, $A$ and $B$, operates $k$ cable cars numbered from $1$ to $k$; each cable car provides a transfer from some checkpoint to a higher one. For each company, and for any $i$ and $j$ with $1 \le i < j \le k$, the starting point of car $j$ is higher than the starting point of car $i$; similarly, the finishing point of car $j$ is higher than the finishing point of car $i$. Say that two checkpoints are linked by some company if one can start from the lower checkpoint and reach the higher one by using one or more cars of that company (no movement on foot is allowed). Determine the smallest $k$ for which one can guarantee that there are two checkpoints that are linked by each of the two companies. Find the remainder when this smallest $k$ is divided by $10^5$.",98601.0,https://www.imo-official.org/problems/IMO2020SL.pdf,IMO2020SL.pdf/Page33,IMO 2020 Shortlisted Problems
229ee8,"Let $k, l > 0$ be parameters. The parabola $y = kx^2 - 2kx + l$ intersects the line $y = 4$ at two points $A$ and $B$. These points are distance 6 apart. What is the sum of the squares of the distances from $A$ and $B$ to the origin?",52.0,https://www.kaggle.com/competitions/ai-mathematical-olympiad-prize/data?select=train.csv,Not Provided,AI Mathematical Olympiad - Progress Prize 1
246d26,Each of the three-digits numbers $111$ to $999$ is coloured blue or yellow in such a way that the sum of any two (not necessarily different) yellow numbers is equal to a blue number. What is the maximum possible number of yellow numbers there can be?,250.0,https://www.kaggle.com/competitions/ai-mathematical-olympiad-prize/data?select=train.csv,Not Provided,AI Mathematical Olympiad - Progress Prize 1
2fc4ad,"Let the `sparkle' operation on positive integer $n$ consist of calculating the sum of the digits of $n$ and taking its factorial, e.g. the sparkle of 13 is $4! = 24$. A robot starts with a positive integer on a blackboard, then after each second for the rest of eternity, replaces the number on the board with its sparkle. For some `special' numbers, if they're the first number, then eventually every number that appears will be less than 6. How many such special numbers are there with at most 36 digits?",702.0,https://www.kaggle.com/competitions/ai-mathematical-olympiad-prize/data?select=train.csv,Not Provided,AI Mathematical Olympiad - Progress Prize 1
430b63,What is the minimum value of $5x^2+5y^2-8xy$ when $x$ and $y$ range over all real numbers such that $|x-2y| + |y-2x| = 40$?,800.0,https://www.kaggle.com/competitions/ai-mathematical-olympiad-prize/data?select=train.csv,Not Provided,AI Mathematical Olympiad - Progress Prize 1
5277ed,There exists a unique increasing geometric sequence of five 2-digit positive integers. What is their sum?,211.0,https://www.kaggle.com/competitions/ai-mathematical-olympiad-prize/data?select=train.csv,Not Provided,AI Mathematical Olympiad - Progress Prize 1
739bc9,For how many positive integers $m$ does the equation \[\vert \vert x-1 \vert -2 \vert=\frac{m}{100}\] have $4$ distinct solutions?,199.0,https://www.kaggle.com/competitions/ai-mathematical-olympiad-prize/data?select=train.csv,Not Provided,AI Mathematical Olympiad - Progress Prize 1
82e2a0,"Suppose that we roll four 6-sided fair dice with faces numbered 1 to~6. Let $a/b$ be the probability that the highest roll is a 5, where $a$ and $b$ are relatively prime positive integers. Find $a + b$.",185.0,https://www.kaggle.com/competitions/ai-mathematical-olympiad-prize/data?select=train.csv,Not Provided,AI Mathematical Olympiad - Progress Prize 1
8ee6f3,"The points $\left(x, y\right)$ satisfying $((\vert x + y \vert - 10)^2 + ( \vert x - y \vert - 10)^2)((\vert x \vert - 8)^2 + ( \vert y \vert - 8)^2) = 0$ enclose a convex polygon. What is the area of this convex polygon?",320.0,https://www.kaggle.com/competitions/ai-mathematical-olympiad-prize/data?select=train.csv,Not Provided,AI Mathematical Olympiad - Progress Prize 1
bedda4,Let $ABCD$ be a unit square. Let $P$ be the point on $AB$ such that $|AP| = 1/{20}$ and let $Q$ be the point on $AD$ such that $|AQ| = 1/{24}$. The lines $DP$ and $BQ$ divide the square into four regions. Find the ratio between the areas of the largest region and the smallest region.,480.0,https://www.kaggle.com/competitions/ai-mathematical-olympiad-prize/data?select=train.csv,Not Provided,AI Mathematical Olympiad - Progress Prize 1
d7e9c9,A function $f: \mathbb N \to \mathbb N$ satisfies the following two conditions for all positive integers $n$:$f(f(f(n)))=8n-7$ and $f(2n)=2f(n)+1$. Calculate $f(100)$.,199.0,https://www.kaggle.com/competitions/ai-mathematical-olympiad-prize/data?select=train.csv,Not Provided,AI Mathematical Olympiad - Progress Prize 1
057f8a,"Three airline companies operate flights from Dodola island. Each company has a different schedule of departures. The first company departs every 100 days, the second every 120 days and the third every 150 days. What is the greatest positive integer $d$ for which it is true that there will be $d$ consecutive days without a flight from Dodola island, regardless of the departure times of the various airlines?",79.0,https://www.kaggle.com/competitions/ai-mathematical-olympiad-progress-prize-2/data?select=reference.csv,AIMO_Progress_Prize_2_Reference_Problems_Solutions.pdf,AI Mathematical Olympiad - Progress Prize 2
1.92E+25,"Fred and George take part in a tennis tournament with $4046$ other players. In each round, the players are paired into $2024$ matches. How many ways are there to arrange the first round such that Fred and George do not have to play each other? (Two arrangements for the first round are \textit{different} if there is a player with a different opponent in the two arrangements.)",250.0,https://www.kaggle.com/competitions/ai-mathematical-olympiad-progress-prize-2/data?select=reference.csv,AIMO_Progress_Prize_2_Reference_Problems_Solutions.pdf,AI Mathematical Olympiad - Progress Prize 2
1acac0,Triangle $ABC$ has side length $AB = 120$ and circumradius $R = 100$. Let $D$ be the foot of the perpendicular from $C$ to the line $AB$. What is the greatest possible length of segment $CD$?,180.0,https://www.kaggle.com/competitions/ai-mathematical-olympiad-progress-prize-2/data?select=reference.csv,AIMO_Progress_Prize_2_Reference_Problems_Solutions.pdf,AI Mathematical Olympiad - Progress Prize 2
1fce4b,Find the three-digit number $n$ such that writing any other three-digit number $10^{2024}$ times in a row and $10^{2024}+2$ times in a row results in two numbers divisible by $n$.,143.0,https://www.kaggle.com/competitions/ai-mathematical-olympiad-progress-prize-2/data?select=reference.csv,AIMO_Progress_Prize_2_Reference_Problems_Solutions.pdf,AI Mathematical Olympiad - Progress Prize 2
349493,"We call a sequence $a_1, a_2, \ldots$ of non-negative integers \textit{delightful} if there exists a positive integer $N$ such that for all $n > N$, $a_n = 0$, and for all $i \geq 1$, $a_i$ counts the number of multiples of $i$ in $a_1, a_2, \ldots, a_N$. How many delightful sequences of non-negative integers are there?",3.0,https://www.kaggle.com/competitions/ai-mathematical-olympiad-progress-prize-2/data?select=reference.csv,AIMO_Progress_Prize_2_Reference_Problems_Solutions.pdf,AI Mathematical Olympiad - Progress Prize 2
480182,"Let $ABC$ be a triangle with $BC=108$, $CA=126$, and $AB=39$. Point $X$ lies on segment $AC$ such that $BX$ bisects $\angle CBA$. Let $\omega$ be the circumcircle of triangle $ABX$. Let $Y$ be a point on $\omega$ different from $X$ such that $CX=CY$. Line $XY$ meets $BC$ at $E$. The length of the segment $BE$ can be written as $\frac{m}{n}$, where $m$ and $n$ are coprime positive integers. Find $m+n$.",751.0,https://www.kaggle.com/competitions/ai-mathematical-olympiad-progress-prize-2/data?select=reference.csv,AIMO_Progress_Prize_2_Reference_Problems_Solutions.pdf,AI Mathematical Olympiad - Progress Prize 2
71beb6,"For a positive integer $n$, let $S(n)$ denote the sum of the digits of $n$ in base 10. Compute $S(S(1)+S(2)+\cdots+S(N))$ with $N=10^{100}-2$.",891.0,https://www.kaggle.com/competitions/ai-mathematical-olympiad-progress-prize-2/data?select=reference.csv,AIMO_Progress_Prize_2_Reference_Problems_Solutions.pdf,AI Mathematical Olympiad - Progress Prize 2
88c219,"For positive integers $x_1,\ldots, x_n$ define $G(x_1, \ldots, x_n)$ to be the sum of their $\frac{n(n-1)}{2}$ pairwise greatest common divisors. We say that an integer $n \geq 2$ is \emph{artificial} if there exist $n$ different positive integers $a_1, ..., a_n$ such that 
\[a_1 + \cdots + a_n = G(a_1, \ldots, a_n) +1.\]
Find the sum of all artificial integers $m$ in the range $2 \leq m \leq 40$.",810.0,https://www.kaggle.com/competitions/ai-mathematical-olympiad-progress-prize-2/data?select=reference.csv,AIMO_Progress_Prize_2_Reference_Problems_Solutions.pdf,AI Mathematical Olympiad - Progress Prize 2
a1d40b,"The Fibonacci numbers are defined as follows: $F_0 = 0$, $F_1 = 1$, and $F_{n+1} = F_n + F_{n-1}$ for $n \geq 1$. There are $N$ positive integers $n$ strictly less than $10^{101}$ such that $n^2 + (n+1)^2$ is a multiple of 5 but $F_{n-1}^2 + F_n^2$ is not. How many prime factors does $N$ have, counted with multiplicity?",201.0,https://www.kaggle.com/competitions/ai-mathematical-olympiad-progress-prize-2/data?select=reference.csv,AIMO_Progress_Prize_2_Reference_Problems_Solutions.pdf,AI Mathematical Olympiad - Progress Prize 2
bbd91e,Alice writes all positive integers from $1$ to $n$ on the board for some positive integer $n \geq 11$. Bob then erases ten of them. The mean of the remaining numbers is $3000/37$. The sum of the numbers Bob erased is $S$. What is the remainder when $n \times S$ is divided by $997$?,902.0,https://www.kaggle.com/competitions/ai-mathematical-olympiad-progress-prize-2/data?select=reference.csv,AIMO_Progress_Prize_2_Reference_Problems_Solutions.pdf,AI Mathematical Olympiad - Progress Prize 2
0e644e,"Let $ABC$ be an acute-angled triangle with integer side lengths and $AB<AC$. Points $D$ and $E$ lie on segments $BC$ and $AC$, respectively, such that $AD=AE=AB$. Line $DE$ intersects $AB$ at $X$. Circles $BXD$ and $CED$ intersect for the second time at $Y \neq D$. Suppose that $Y$ lies on line $AD$. There is a unique such triangle with minimal perimeter. This triangle has side lengths $a=BC$, $b=CA$, and $c=AB$. Find the remainder when $abc$ is divided by $10^{5}$.",336.0,https://www.kaggle.com/competitions/ai-mathematical-olympiad-progress-prize-3/data?select=reference.csv,AIMO3_Reference_Problems.pdf,AI Mathematical Olympiad - Progress Prize 3
26de63,"Define a function $f \colon \mathbb{Z}_{\geq 1} \to \mathbb{Z}_{\geq 1}$ by
\begin{equation*}
    f(n) = \sum_{i = 1}^n \sum_{j = 1}^n j^{1024} \left\lfloor\frac1j + \frac{n-i}{n}\right\rfloor.
\end{equation*}
Let $M=2 \cdot 3 \cdot 5 \cdot 7 \cdot 11 \cdot 13$ and let $N = f{\left(M^{15}\right)} - f{\left(M^{15}-1\right)}$. Let $k$ be the largest non-negative integer such that $2^k$ divides $N$. What is the remainder when $2^k$ is divided by $5^7$?",32951.0,https://www.kaggle.com/competitions/ai-mathematical-olympiad-progress-prize-3/data?select=reference.csv,AIMO3_Reference_Problems.pdf,AI Mathematical Olympiad - Progress Prize 3
4.24E+20,"A tournament is held with $2^{20}$ runners each of which has a different running speed. In each race, two runners compete against each other with the faster runner always winning the race. The competition consists of $20$ rounds with each runner starting with a score of $0$. In each round, the runners are paired in such a way that in each pair, both runners have the same score at the beginning of the round. The winner of each race in the $i^{\text{th}}$ round receives $2^{20-i}$ points and the loser gets no points.

At the end of the tournament, we rank the competitors according to their scores. Let $N$ denote the number of possible orderings of the competitors at the end of the tournament. Let $k$ be the largest positive integer such that $10^k$ divides $N$. What is the remainder when $k$ is divided by $10^{5}$?",21818.0,https://www.kaggle.com/competitions/ai-mathematical-olympiad-progress-prize-3/data?select=reference.csv,AIMO3_Reference_Problems.pdf,AI Mathematical Olympiad - Progress Prize 3
42d360,"On a blackboard, Ken starts off by writing a positive integer $n$ and then applies the following move until he first reaches $1$. Given that the number on the board is $m$, he chooses a base $b$, where $2 \leq b \leq m$, and considers the unique base-$b$ representation of $m$,
\begin{equation*}
    m = \sum_{k = 0}^\infty a_k \cdot b^k
\end{equation*}
where $a_k$ are non-negative integers and $0 \leq a_k < b$ for each $k$. Ken then erases $m$ on the blackboard and replaces it with $\sum\limits_{k = 0}^\infty a_k$.

Across all choices of $1 \leq n \leq 10^{10^5}$, the largest possible number of moves Ken could make is $M$. What is the remainder when $M$ is divided by $10^{5}$?",32193.0,https://www.kaggle.com/competitions/ai-mathematical-olympiad-progress-prize-3/data?select=reference.csv,AIMO3_Reference_Problems.pdf,AI Mathematical Olympiad - Progress Prize 3
641659,"Let $ABC$ be a triangle with $AB \neq AC$, circumcircle $\Omega$, and incircle $\omega$. Let the contact points of $\omega$ with $BC$, $CA$, and $AB$ be $D$, $E$, and $F$, respectively. Let the circumcircle of $AFE$ meet $\Omega$ at $K$ and let the reflection of $K$ in $EF$ be $K'$. Let $N$ denote the foot of the perpendicular from $D$ to $EF$. The circle tangent to line $BN$ and passing through $B$ and $K$ intersects $BC$ again at $T \neq B$. 
    
Let sequence $(F_n)_{n \geq 0}$ be defined by $F_0 = 0$, $F_1 = 1$ and for $n \geq 2$, $F_n = F_{n-1} + F_{n-2}$. Call $ABC$ $n$\emph{-tastic} if $BD = F_n$, $CD = F_{n+1}$, and $KNK'B$ is cyclic. Across all $n$-tastic triangles, let $a_n$ denote the maximum possible value of $\frac{CT \cdot NB}{BT \cdot NE}$. Let $\alpha$ denote the smallest real number such that for all sufficiently large $n$, $a_{2n} < \alpha$. Given that $\alpha = p + \sqrt{q}$ for rationals $p$ and $q$, what is the remainder when $\left\lfloor p^{q^p} \right\rfloor$ is divided by $99991$?",57447.0,https://www.kaggle.com/competitions/ai-mathematical-olympiad-progress-prize-3/data?select=reference.csv,AIMO3_Reference_Problems.pdf,AI Mathematical Olympiad - Progress Prize 3
86e8e5,"Let $n \geq 6$ be a positive integer. We call a positive integer $n$-Norwegian if it has three distinct positive divisors whose sum is equal to $n$. Let $f(n)$ denote the smallest $n$-Norwegian positive integer. Let $M=3^{2025!}$ and for a non-negative integer $c$ define 
\begin{equation*}
    g(c)=\frac{1}{2025!}\left\lfloor \frac{2025! f(M+c)}{M}\right\rfloor.
\end{equation*}
We can write 
\begin{equation*}
    g(0)+g(4M)+g(1848374)+g(10162574)+g(265710644)+g(44636594)=\frac{p}{q}
\end{equation*}
where $p$ and $q$ are coprime positive integers. What is the remainder when $p+q$ is divided by $99991$?",8687.0,https://www.kaggle.com/competitions/ai-mathematical-olympiad-progress-prize-3/data?select=reference.csv,AIMO3_Reference_Problems.pdf,AI Mathematical Olympiad - Progress Prize 3
92ba6a,"Alice and Bob are each holding some integer number of sweets. Alice says to Bob: ``If we each added the number of sweets we're holding to our (positive integer) age, my answer would be double yours. If we took the product, then my answer would be four times yours.'' Bob replies: ``Why don't you give me five of your sweets because then both our sum and product would be equal.'' What is the product of Alice and Bob's ages?",50.0,https://www.kaggle.com/competitions/ai-mathematical-olympiad-progress-prize-3/data?select=reference.csv,AIMO3_Reference_Problems.pdf,AI Mathematical Olympiad - Progress Prize 3
9c1c5f,"Let $f \colon \mathbb{Z}_{\geq 1} \to \mathbb{Z}_{\geq 1}$ be a function such that for all positive integers $m$ and $n$, 
\begin{equation*}
    f(m) + f(n) = f(m + n + mn).
\end{equation*}
Across all functions $f$ such that $f(n) \leq 1000$ for all $n \leq 1000$, how many different values can $f(2024)$ take?",580.0,https://www.kaggle.com/competitions/ai-mathematical-olympiad-progress-prize-3/data?select=reference.csv,AIMO3_Reference_Problems.pdf,AI Mathematical Olympiad - Progress Prize 3
a295e9,"A $500 \times 500$ square is divided into $k$ rectangles, each having integer side lengths. Given that no two of these rectangles have the same perimeter, the largest possible value of $k$ is $\mathcal{K}$. What is the remainder when $k$ is divided by $10^{5}$?",520.0,https://www.kaggle.com/competitions/ai-mathematical-olympiad-progress-prize-3/data?select=reference.csv,AIMO3_Reference_Problems.pdf,AI Mathematical Olympiad - Progress Prize 3
dd7f5e,"Let $\mathcal{F}$ be the set of functions $\alpha \colon \mathbb{Z}\to \mathbb{Z}$ for which there are only finitely many $n \in \mathbb{Z}$ such that $\alpha(n) \neq 0$. 

For two functions $\alpha$ and $\beta$ in $\mathcal{F}$, define their product $\alpha\star\beta$ to be $\sum\limits_{n\in\mathbb{Z}} \alpha(n)\cdot \beta(n)$. Also, for $n\in\mathbb{Z}$, define a shift operator $S_n \colon \mathcal{F}\to \mathcal{F}$ by $S_n(\alpha)(t)=\alpha(t+n)$ for all $t \in \mathbb{Z}$.

A function $\alpha \in \mathcal{F}$ is called \emph{shifty} if 
\begin{itemize}
    \item $\alpha(m)=0$ for all integers $m<0$ and $m>8$ and
    \item There exists $\beta \in \mathcal{F}$ and integers $k \neq l$ such that for all $n \in \mathbb{Z}$
    \begin{equation*}
        S_n(\alpha)\star\beta =
        \begin{cases}
            1 & n \in \{k,l\} \\
            0 & n \not \in \{k,l\}
        \end{cases}
        \; .
    \end{equation*}
\end{itemize}
How many shifty functions are there in $\mathcal{F}$?",160.0,https://www.kaggle.com/competitions/ai-mathematical-olympiad-progress-prize-3/data?select=reference.csv,AIMO3_Reference_Problems.pdf,AI Mathematical Olympiad - Progress Prize 3
,,,,s,
